,FECHA_ENT,FECHA_VEN,CAN_TOT
9567,2022-09-02 00:00:00,2022-09-05,612.5
9568,2022-09-05 00:00:00,2022-10-05,17582.0
9569,2022-09-05 00:00:00,2022-10-05,8356.464300000001
9570,2022-09-02 00:00:00,2022-09-05,1999.8136000000002
9571,2022-09-05 00:00:00,2022-09-05,842.0
9572,2022-09-06 00:00:00,2022-09-06,150.0
9573,2022-09-06 00:00:00,2022-09-06,550.0
9574,2022-09-06 00:00:00,2022-09-06,631.0
9575,2022-04-27 00:00:00,2022-10-06,9895.0
9576,2022-08-29 00:00:00,2022-09-06,913.8
9577,2022-09-06 00:00:00,2022-09-06,70.0
9578,2022-09-06 00:00:00,2022-09-06,870.6
9579,2022-08-30 00:00:00,2022-11-05,1800.0
9580,2022-09-02 00:00:00,2022-11-05,7106.5
9581,2022-09-02 00:00:00,2022-11-05,9856.8
9582,2022-09-02 00:00:00,2022-10-07,16200.0
9583,2022-09-07 00:00:00,2022-09-07,1075.31
9584,2022-09-09 00:00:00,2022-09-07,4556.9
9585,2022-09-07 00:00:00,2022-09-07,925.0
9586,2022-09-07 00:00:00,2022-09-07,560.0699999999999
9587,2022-09-07 00:00:00,2022-10-07,462.0
9588,2022-09-07 00:00:00,2022-09-07,6028.000000000001
9589,2022-09-07 00:00:00,2022-09-07,497.89000000000004
9590,2022-09-02 00:00:00,2022-09-16,7200.0
9591,2022-09-08 00:00:00,2022-09-08,2588.0
9592,2022-09-09 00:00:00,2022-09-08,1125.0
9593,2022-09-08 00:00:00,2022-09-08,2129.205
9594,2022-09-06 00:00:00,2022-09-08,8490.630000000001
9595,2022-09-07 00:00:00,2022-09-08,3800.0000000000005
9596,2022-09-08 00:00:00,2022-09-08,182.97
9597,2022-09-08 00:00:00,2022-09-08,1975.0
9598,2022-09-07 00:00:00,2022-09-08,1045.31
9599,2022-09-08 00:00:00,2022-09-08,57.88
9600,2022-09-08 00:00:00,2022-09-08,2183.0000000000005
9601,2022-09-07 00:00:00,2022-09-08,3192.0000000000005
9602,2022-09-06 00:00:00,2022-10-09,33236.0
9603,2022-09-08 00:00:00,2022-10-24,6000.000000000001
9604,2022-09-09 00:00:00,2022-09-09,485.00000000000006
9605,2022-08-15 00:00:00,2022-09-24,3907.7000000000003
9606,2022-09-09 00:00:00,2022-09-09,248.28000000000003
9607,2022-09-08 00:00:00,2022-09-09,1099.4
9608,2022-09-09 00:00:00,2022-09-09,4556.900000000001
9609,2022-09-09 00:00:00,2022-10-09,293.0
9610,2022-09-08 00:00:00,2022-09-09,817.8900000000001
9611,2022-09-09 00:00:00,2022-09-09,1900.0000000000002
9612,2022-09-12 00:00:00,2022-09-12,385.0
9613,2022-09-12 00:00:00,2022-09-27,3860.0
9614,2022-09-12 00:00:00,2022-09-12,1620.0000000000002
9615,2022-09-12 00:00:00,2022-11-11,6804.000000000001
9616,2022-09-08 00:00:00,2022-09-12,5353.05
9617,2022-09-12 00:00:00,2022-09-12,2630.32
9618,2022-08-31 00:00:00,2022-09-12,3118.0000000000005
9619,2022-09-12 00:00:00,2022-09-12,1572.2600000000002
9620,2022-09-12 00:00:00,2022-09-12,1572.2600000000002
9621,2022-09-09 00:00:00,2022-09-12,44.00000000000001
9622,2022-09-12 00:00:00,2022-10-13,2555.4243
9623,2022-09-13 00:00:00,2022-09-28,530.15
9624,2022-09-13 00:00:00,2022-09-13,327.59000000000003
9625,2022-09-12 00:00:00,2022-09-28,1737.5
9626,2022-09-13 00:00:00,2022-09-13,4102.2300000000005
9627,2022-09-13 00:00:00,2022-09-13,180.0
9628,2022-09-12 00:00:00,2022-09-13,530.1500000000001
9629,2022-06-14 00:00:00,2022-09-13,34500.0
9630,2022-09-08 00:00:00,2022-09-13,12500.0
9631,2022-09-13 00:00:00,2022-09-13,215.05
9632,2022-09-13 00:00:00,2022-09-13,1225.0
9633,2022-09-13 00:00:00,2022-09-13,1025.78
9634,2022-09-13 00:00:00,2022-09-13,189.64000000000001
9635,2022-09-13 00:00:00,2022-09-13,845.6500000000001
9636,2022-09-14 00:00:00,2022-09-14,517.89
9637,2022-09-14 00:00:00,2022-09-14,596.0
9638,2022-09-06 00:00:00,2022-09-29,6995.000000000001
9639,2022-09-15 00:00:00,2022-09-29,2397.3
9640,2022-09-12 00:00:00,2022-10-14,25554.243000000002
9641,2022-09-14 00:00:00,2022-09-14,1133.555
9642,2022-09-07 00:00:00,2022-09-14,1118.5100000000002
9643,2022-09-13 00:00:00,2022-09-14,1848.9
9644,2022-09-14 00:00:00,2022-09-14,1683.0
9645,2022-09-14 00:00:00,2022-09-14,5100.0
9646,2022-09-14 00:00:00,2022-09-14,348.54600000000005
9647,2022-08-31 00:00:00,2022-09-14,960.34
9648,2022-09-14 00:00:00,2022-09-14,321.80000000000007
9649,2022-09-14 00:00:00,2022-09-14,7129.3
9650,2022-09-13 00:00:00,2022-09-15,1848.9
9651,2022-09-19 00:00:00,2022-09-15,3644.6
9652,2022-09-14 00:00:00,2022-09-15,974.4
9653,2022-09-15 00:00:00,2022-09-15,974.4
9654,2022-09-09 00:00:00,2022-09-19,690.0
9655,2022-09-19 00:00:00,2022-09-19,290.0
9656,2022-09-20 00:00:00,2022-09-19,1057.78
9657,2022-09-19 00:00:00,2022-09-19,999.9068000000001
9658,2022-09-19 00:00:00,2022-09-19,999.9068000000001
9659,2022-09-19 00:00:00,2022-09-19,467.67
9660,2022-09-08 00:00:00,2022-09-19,4372.0
9661,2022-09-19 00:00:00,2022-09-19,757.98
9662,2022-09-08 00:00:00,2022-09-19,264.0
9663,2022-09-08 00:00:00,2022-09-19,393.4725000000001
9664,2022-09-19 00:00:00,2022-09-19,675.0
9665,2022-09-19 00:00:00,2022-09-19,680.0
9666,2022-09-12 00:00:00,2022-09-19,2660.9
9667,2022-09-19 00:00:00,2022-09-19,815.1771
9668,2022-09-19 00:00:00,2022-09-19,1698.6100000000001
9669,2022-09-19 00:00:00,2022-09-20,3407.5008
9670,2022-09-20 00:00:00,2022-09-20,660.0
9671,2022-09-13 00:00:00,2022-09-20,12097.12
9672,2022-09-19 00:00:00,2022-10-05,22417.600000000002
9673,2022-09-20 00:00:00,2022-10-05,155.0
9674,2022-09-20 00:00:00,2022-10-05,1455.7
9675,2022-09-20 00:00:00,2022-10-05,92.78999999999999
9676,2022-09-20 00:00:00,2022-10-05,542.93
9677,2022-09-20 00:00:00,2022-09-20,1365.0
9678,2022-09-20 00:00:00,2022-09-20,699.7792000000001
9679,2022-09-23 00:00:00,2022-10-20,17590.854600000002
9680,2022-09-19 00:00:00,2022-09-20,1103.45
9681,2022-09-20 00:00:00,2022-09-20,930.0000000000001
9682,2022-09-20 00:00:00,2022-11-19,28350.000000000004
9683,2022-09-20 00:00:00,2022-09-21,225.9
9684,2022-09-21 00:00:00,2022-10-21,144.0
9685,2022-09-21 00:00:00,2022-09-21,3916.5860000000002
9686,2022-09-21 00:00:00,2022-10-06,1737.5
9687,2022-09-21 00:00:00,2022-09-21,2268.75
9688,2022-09-21 00:00:00,2022-09-21,973.1400000000001
9689,2022-09-15 00:00:00,2022-10-21,7260.870000000001
9690,2022-09-21 00:00:00,2022-10-06,10984.837500000001
9691,2022-09-22 00:00:00,2022-10-07,5113.9935000000005
9692,2022-09-23 00:00:00,2022-10-22,5700.000000000001
9693,2022-09-22 00:00:00,2022-09-22,137.0
9694,2022-09-22 00:00:00,2022-09-22,415.0350000000001
9695,2022-09-15 00:00:00,2022-10-07,2213.8
9696,2022-09-22 00:00:00,2022-09-22,114.00000000000001
9697,2022-09-22 00:00:00,2022-09-22,114.00000000000001
9698,2022-09-14 00:00:00,2022-10-07,11279.5
9699,2022-09-02 00:00:00,2022-11-21,5508.0
9700,2022-09-19 00:00:00,2022-09-22,915.0000000000001
